czytać,read
but,shoe
Kanada,Canada
kanadyjka,canoe
walec,roller
duet,duo
nie wywołuj wilka z lasu,let sleeping dogs lie
rodzic,parent
Sejm,Sejm
rdza,rust
patyna,patina
wywiad,interview
symbol,symbol
noga,leg
pastylka,pastille
miętowy,mint
grosz,grosz
piłkarz,footballer
złoty,gold
zł,PLN
chęć,wish
chcieć,want
kończyć,end
koniec,end
wymiar,dimension
kaptur,hood
pięć,five
es,es
anioł,angel
liczba,number
oraz,as well as
gorący,hot
liczba atomowa,atomic number
tajemniczy,mysterious
tajemnica,secret
wiadomość,information
mecz,match
pomarańczowy,orange
policja,police
przestępca,criminal
żółty,yellow
ku,toward
biedronka,lady beetle
ręka,hand
okresowy,periodic
krówka,fudge
element,element
fontanna,fountain
gonić,chase
pierwiastek,element
kwadratowy,square
szachy,chess
imiesłów przymiotnikowy czynny,participle
imiesłów przymiotnikowy bierny,past participle
szach,check
czaszka,skull
czarny,black
trupia czaszka,skull and crossbones
trupi,cadaverous
warzywniak,greengrocer's
lokomotywa,locomotive
ciuchcia,choo-choo train
czyli,that
o czasie,be
czasochłonny,time-consuming
poświęcenie,sacrifice
dysk twardy,hard disk
taniec,dance
gotować,boil
gaz,gas
pedał,pedal
rozwielitka,water flea
mężatka,spouse
katedra,cathedral
feminizm,feminism
sowa,owl
Niemiec,German
szwagier,brother-in-law
legion,legion
Państwa Centralne,Central Powers
ententa,entente
Trójporozumienie,Triple Entente
wojskowy,military
cegła,brick
prostopadłościan,cuboid
hycel,dog-catcher
jaki,what
pytanie,question
kier,heart
trefl,club
Europa,Europa
Azja,Asia
szczyt,top
Afryka,Africa
jaszczurka,lizard
nowy,new
gra,game
domino,domino
błoto,mud
degradować,degrade
butelka,bottle
miedziany,copper
cyfra,digit
czarna wdowa,black widow
autor,author
twórca,creator
zielony,green
muzeum,museum
czesać,comb
właściwość,property
cecha,feature
układ,system
półka,shelf
wilczy,wolf-
szczurzy,rat-like
koci,catlike
jego,his
mucha,fly
wihajster,whachamacallit
służyć,serve
woleć,prefer
swój,his
dysk,discus
wigor,vigour
konno,on
kara,punishment
koło,disk
tasza,lumpsucker
warzyć,brew
od ręki,offhand
gracz,player
magnes,magnet
garbus,Beetle
derby,derby
gruba ryba,big fish
troszczyć się,care for
troska,care
lemoniada,lemonade
oranżada,orangeade
wynajmować,rent
mieszkanie,flat
mieszkać,live
milicja,militia
PRL,PRP
Stany Zjednoczone,United States
Islandia,Iceland
truskawka,strawberry
kurdupel,shorty
ogier,stallion
kozak,Cossack
przedimek określony,definite article
przedimek nieokreślony,indefinite article
myć,wash
galareta,jelly
ponton,pontoon
nos,nose
bombowiec,bomber
klucz,key
duński,Danish
HV,HVI
norweski,Norwegian
uczestniczyć,participate
szwedzki,Swedish
bydło,cattle
ognisko,bonfire
alkohol,alcohol
koniec świata,end of the world
Sąd Ostateczny,Last Judgement
Armagedon,Armageddon
boks,box
hokej,hockey
nasz,our
wasz,your
już,already
krowa, która dużo ryczy, mało mleka daje,barking dogs seldom bite
tłumaczyć,explain
być solą w oku,be a thorn in sb's side
sól,salt
jeden,one
mgnienie oka,split second
ruski,Ruthenian
ciemność,darkness
larum,alarum
jałmużna,alms
sprawiedliwość,justice
kufel,beer stein
robot,robot
mit,myth
gość,guest
dom publiczny,brothel
burdel,brothel
bałagan,mess
porządek,order
resorak,Matchbox
strach,fear
strachliwy,cowardly
straszliwy,horrendous
puszczać,let go
system,system
r.,yr
pułapka na myszy,mousetrap
acetal,acetal
acetylen,acetylene
addendum,addendum
administrator,administrator
adrenalina,adrenaline
aerologia,aerology
aerometria,aerometry
affidavit,affidavit
agitator,agitator
agon,agon
agonia,agony
agonista,agonist
agora,agora
agronomia,agronomy
ala,ala
alba,alb
albatros,albatross
album,album
algebra,algebra
algometria,algometry
alibi,alibi
allegro,allegro
alpinista,alpinist
altruista,altruist
amator,amateur
ameba,amoeba
americano,americano
amnestia,amnesty
analogia,analogy
anarchia,anarchy
anarchista,anarchist
anatolian,Anatolian shepherd dog
anemologia,anemology
anemometria,anemometry
angiologia,angiology
animator,animator
animista,animist
anion,anion
anomalia,anomaly
antagonista,antagonist
antologia,anthology
aorta,aorta
apartheid,apartheid
apertura,aperture
apologia,apology
apostata,apostate
arabista,Arabist
archeologia,archaeology
argot,argot
aria,aria
armatura,fixture
arpeggio,arpeggio
arteria,artery
arteriotomia,arteriotomy
asceta,ascetic
aspirator,aspirator
astrolatria,astrolatry
astrologia,astrology
astronauta,astronaut
astronomia,astronomy
atlas,atlas
atomista,atomist
aura,weather
aureola,nimbus
auto,car
autobus,bus
automobilista,automobilist
autonomia,autonomy
autostop,hitch-hiking
anemo-,anemo-
anilina,aniline
alias,alias
aut,out
Alabama,Alabama
Alaska,Alaska
Amsterdam,Amsterdam
Angola,Angola
Arabia,Arabia
Ariadna,Ariadne
Arizona,Arizona
Armenia,Armenia
Australia,Australia
Berlin,Berlin
Bohemia,Bohemia
Bug,Bug
Burgundia,Burgundy
cham,lout
Chile,Chile
Connecticut,Connecticut
Dorothea,Dorothea
Dublin,Dublin
Elba,Elba
Eos,Eos
Eros,Eros
Finlandia,Finland
Galicia,Galicia
Galilea,Galilee
Genua,Genoa
Germania,Germania
Gibraltar,Gibraltar
Guam,Guam
Helsinki,Helsinki
Indiana,Indiana
Iran,Iran
Labrador,Labrador
Leningrad,Leningrad
Macedonia,Macedonia
Mahomet,Muhammad
Minos,Minos
Montreal,Montreal
Nigeria,Nigeria
Normandia,Normandy
Nubia,Nubia
Oceania,Oceania
Parma,Parma
Pascha,Passover
Peru,Peru
Roma,Roma
Romania,Romagna
Rwanda,Rwanda
Sahara,Sahara
Salomon,Solomon
Samaria,Samaria
Senegal,Senegal
Serbia,Serbia
Sodoma,Sodom
Sparta,Sparta
Sudan,Sudan
Sumatra,Sumatra
Syria,Syria
Westfalia,Westphalia
babuin,yellow baboon
badminton,badminton
ballada,ballad
banjo,banjo
barman,barman
barologia,barology
baron,baron
baseball,baseball
bastonada,bastinado
batik,batik
bazooka,bazooka
belladonna,belladonna
benzol,benzol
bestia,beast
betel,betel
beton,concrete
bibliolatra,bibliolater
bibliolatria,bibliolatry
bibliomania,bibliomania
biennale,biennale
bigamia,bigamy
bigot,bigot
bigoteria,bigotry
bikini,bikini
biologia,biology
biotechnologia,biotechnology
bit,bit
boliviano,boliviano
bombarda,bombard
bombardon,bass saxhorn
brandy,brandy
bronchotomia,bronchotomy
bungalow,bungalow
burnus,burnoose
caddie,caddie
calypso,calypso
carat,tsarism
cena,price
cenobita,cenobite
NN,John Doe
rząd,government
przed,before
więc,so
egzekwować,exact
ceremonia,ceremony
chaos,chaos
chat,chat
cherub,cherub
cherubin,cherub
chimera,illusion
chip,chip
chirurgia,surgery
chrestomatia,chrestomathy
chronologia,chronology
chronometria,chronometry
cicerone,cicerone
porządkowy,ordinal
copula,copula
cosinus,cosine
credo,credo
crescendo,crescendo
czar,spell
curriculum vitae,curriculum vitae
jakiś,some
car,tsar
dama,lady
darwinista,Darwinist
data,date
defilada,parade
degustator,debit
deista,deist
delta,delta
demagogia,demagogy
demo,demo
demonolatria,demonolatry
demonologia,demonology
dendrologia,dendrology
despota,despot
detonator,detonator
deuteron,deuteron
diaspora,diaspora
dieta,diet
digamma,digamma
diorama,diorama
divertimento,divertimento
domina,dominatrix
dominator,dominator
donator,donator
doping,doping
dossier,dossier
zbrodnia,felony
niesłychany,unheard
pani,madam
zabijać,kill
grób,grave
dur,typhus
dynamo,dynamo
dynasta,dynast
dynastia,dynasty
francuski,French
kawa,coffee
grzebać,dig
siać,sow
mała czarna,little black dress
przy,at
wodny,water
śpiewać,sing
ząb,tooth
islandzki,Icelandic
lotnisko,airport
dentysta,dentist
kwiat,flower
blondynka,blonde
znowu,again
autobusowy,bus
tramwaj,tram
klimatyzacja,air conditioning
żołd,pay
pieniądz,money
kocur,tomcat
kotka,female
lufa,barrel
nów,new moon
pełnia,full moon
tapczan,couch
łóżko,bed
wersalka,sofa bed
międzyczas,meantime
nocny,nightly
częsty,frequent
często,often
zwykle,usually
sporadycznie,sporadically
rzadko,rarely
rzadki,rare
rosnąć,grow
wysoko,high
głęboko,deeply
chodnik,pavement
dermatologia,dermatology
ego,ego
egoista,egoist
elegia,elegy
embargo,embargo
emu,emu
leżeć,lie
endemia,endemic
enigma,enigma
entropia,entropy
eocen,Eocene
epidemia,epidemy
epidemiologia,epidemiology
epos,epic
epsilon,epsilon
eremita,hermit
ergonomia,ergonomics
errata,errata
eschatologia,eschatology
escudo,escudo
etymologia,etymology
fama,rumor
fauna,fauna
fentanyl,fentanyl
feston,festoon
figura,figure
filar,pillar
film,film
firma,company
flauta,calm
flora,flora
forma,shape
fornir,wood veneer
znać,know
imiennik,namesake
freon,freon
fundator,founder
poziomy,horizontal
potem,after
cały,whole
skrwawić,bloodstain
łąka,meadow
przypadek,chance
knieja,forest
latawiec,kite
wiatr,wind
Andaluzja,Andalusia
Sewilla,Seville
zmrok,dusk
wietrzyk,breeze
ciemno,darkly
kupować,buy
katoda,cathode
ponuro,gloomily
Legia Cudzoziemska,French
cudzoziemiec,foreigner
cudzy,somebody
cudzysłów,quotation mark
cytat,quotation
skąd,where
kiedyś,once
kiedy,when
jeżeli,if
kula,ball
matematyczny,mathematical
matematyka,mathematics
królowa,queen
hetman,hetman
dół,hole
rodzić,bear
wrona,crow
gdzieniegdzie,here and there
puchacz,eagle owl
adwokat diabła,devil's advocate
adwokat Boga,God's advocate
krakać,caw
wiać,blow
bieżący,current
fortuna,luck
fundamentalista,fundamentalist
furia,fury
galeon,argosy
galera,galley
galeria,gallery
gamma,gamma
gangrena,gangrene
gangster,gangster
gardenia,gardenia
gastronomia,gastronomy
gen,gene
genealogia,genealogy
geologia,geology
geometria,geometry
goniometria,goniometry
grossular,grossular
habitat,habitat
hardware,hardware
harmonia,harmony
hegemonia,hegemony
heptagon,heptagon
heroina,heroin
herpetologia,herpetology
hierarchia,hierarchy
horda,horde
horror,horror
humanista,humanist
funkcja,function
określać,define
padać,fall
potaż,potash
właśnie,right now
naprawiać,fix
lewy,left
rabować,rob
plądrować,plunder
przemoc,violence
gwałt,rape
każdy,every
strumyk,creek
pustelnik,hermit
starzec,old
upiór,spectre
gdzie,where
wizytówka,business card
krzyk,scream
dokąd,where
kartka,card
biblioteka,library
banknot,banknote
ważyć,weigh
inny,other
przychylny,friendly
waga,balance
głodny,hungry
taki,so
iść,walk
lont,fuse
bohater,hero
kryminał,crime story
wątroba,liver
wczoraj,yesterday
czynność,act
nazwa,name
pociąg,train
zły,angry
praca,work
bóg,god
pracować,work
gdy,as
wszyscy,all
węglan,carbonate
carski,tsarist
kastrat,castrate
godło,charge
Wielki Piątek,Good Friday
mówić,speak
dowód,proof
wysoki,tall
bas,bass
tłum,crowd
skąpy,miserly
skończony,downright
pójść,go
jako,as
mały,small
godzina,hour
Wiedeń,Vienna
Kraków,Cracow
kartograficzny,cartographic
kartografia,cartography
mapa,map
Sycylia,Sicily
odzież,clothing
transformator,transformer
przekładnik,transformer
przekaźnik,transmitter
skarżypyta,sneak
przewodnik,guide
jechać,go
Praga,Prague
chwila,moment
niż,low
kalkulator,calculator
ekran,screen
Łaba,Elbe
mrówkowy,formic
chrzest,baptism
kościół,church
Sdz,Judg
Rt,Ru
Rut,Ruth
Tes,Th
Rz,Rom
Ml,Mal
Ab,Obad
Oz,Ho
Dn,Dan
Ez,Ez
Lm,La
Ps,Ps
aspiryna,aspirin
harcerz,scout
członek,member
przedmiot,object
opera,opera
opera mydlana,soap opera
soap opera,soap opera
świecznik,candlestick
komentator,commentator
komputerowy,computer
pisać,write
pismo,writing
zbiór,set
faszysta,fascist
wierzyć,believe
wierny,faithful
dawca,giver
finalizować,finalize
poganin,pagan
Jamajka,Jamaica
Korsyka,Corsica
duży,big
temperatura,temperature
Marsylia,Marseilles
grabie,rake
oszust,fraud
oszukiwać,cheat
związek zgody,concord
Luksemburg,Luxembourg
Mediolan,Milan
Afganistan,Afghanistan
Wybrzeże Kości Słoniowej,Ivory Coast
Węgry,Hungary
Brazylia,Brazil
Federacyjna Republika Brazylii,Federative Republic of Brazil
Timor Wschodni,East Timor
Ekwador,Ecuador
Egipt,Egypt
Erytrea,Eritrea
Etiopia,Ethiopia
Salwador,El Salvador
robić,make
studniówka,prom
Austro-Węgry,Austria-Hungary
wieża,tower
szachownica,chessboard
szachista,chess
symultana,simultaneous display
mosiężny,brazen
dwa,two
trzy,three
cztery,four
Litwa,Lithuania
Łotwa,Latvia
różniczkowalny,differentiable
Fidżi,Fiji
sinus,sine
Gwinea Równikowa,Equatorial Guinea
Izrael,Israel
Nowa Zelandia,New Zealand
Haiti,Haiti
Serbia i Czarnogóra,Serbia and Montenegro
kosić,mow
niszczyciel,destroyer
twój,your
jej,her
zwierzę,animal
z reguły,as a rule
kraj,country
chirurgiczny,surgical
Georgia,Georgia
zostawać,stay
zegar,clock
podczas,during
skrzyżowanie,crossing
policjant,policeman
dany,give
odwaga,courage
podejmować,collect
fala,wave
bagnet,bayonet
grupa,group
slang,slang
informatyczny,computer science
informatyka,computer science
polityk,politician
długi,long
niemiecki,German
angielski,English
uczciwy,honest
okrąg,circle
mokry,wet
potop,Flood
ręcznik,towel
powoli,slowly
dach,roof
droga,road
żonaty,married
ostrzyć,sharpen
tępić,dull
babcia,grandma
pożyczać,lend
gaża,wage
wzrost,height
ekwilibrystyka,acrobatics
prawo pierwszej nocy,droit de seigneur
kochać,love
KKK,CCC
baba,hag
by,to
wyobrażać,represent
hydrologia,hydrology
idea,idea
idealista,idealist
ideologia,ideology
idiota,idiot
imperator,emperor
informator,informer
inhalator,inhalator
koc,blanket
wełniany,woolen
Zofia,Sophia
antonim,antonym
czołg,tank
piechota,infantry
kawaleria,cavalry
insula,insula
interview,interview
ironia,irony
islam,Islam
jaguar,jaguar
jazz,jazz
przeciwnik,enemy
przeciw,against
wieczny szach,perpetual check
wieczny,eternal
gruby,fat
gleba,soil
propaganda,propaganda
pierwszy,first
kosztować,cost
stać,stand
ziemia,ground
lingwista,linguist
ruch,movement
rodzina,family
chrześcijanin,Christian
makiawelizm,Machiavellianism
łasica,weasel
tworzyć,create
zapora,barrier
czerwony,red
junior,junior
kilobit,kilobit
kilt,kilt
kurde,damn
pancerz,armour
pancerzownica,bazooka
pancernik,armadillo
publiczność,audience
widownia,auditorium
alfa,alpha
beta,beta
kierunek,direction
prawo,law
celny,accurate
płeć,sex
niech,let
mina,face
uczeń,schoolboy
ostatni,last
doić,milk
samica,female
samiec,male
stryj,paternal uncle
premier,Prime Minister
jeszcze,still
brać,take
wiele,many
również,also
umożliwiać,allow
stół,table
przysłowie,proverb
lamina,lamina
