Dzień dobry, Good morning
Interesujące, Interesting
Nudne, Boring
Ważne, Important
Nieistotne, Unimportant
Proste, Simple
Skomplikowane, Complicated
Drogie, Expensive
Tanie, Cheap
Duże, Big
Małe, Small
Stare, Old
Nowe, New
Czyste, Clean
Brudne, Dirty
Ciepłe, Warm
Zimne, Cold
Mokre, Wet
Suche, Dry
Miękkie, Soft
Twarde, Hard
Puste, Empty
Pełne, Full
Wysokie, Tall
Wysokie, High
Niskie, Short
Niskie, Low
Długie, Long
Krótkie, Short
Szerokie, Wide
Wąskie, Narrow
Ciężkie, Heavy
Lekkie, Light
Szybkie, Fast
Wolne, Slow
Mocne, Strong
Słabe, Weak
Piękny dzień, Beautiful day
Zła pogoda, Bad weather
Pada deszcz, It's raining
Świeci słońce, The sun is shining
Jest wietrznie, It's windy
Jest mgła, It's foggy
Pada śnieg, It's snowing
Jest burza, There's a storm
Temperatura rośnie, The temperature is rising
Temperatura spada, The temperature is falling
Wiosna, Spring
Lato, Summer
Jesień, Autumn
Jesień, Fall
Zima, Winter
Poniedziałek, Monday
Wtorek, Tuesday
Środa, Wednesday
Czwartek, Thursday
Piątek, Friday
Sobota, Saturday
Niedziela, Sunday
Styczeń, January
Luty, February
Marzec, March
Kwiecień, April
Maj, May
Czerwiec, June
Lipiec, July
Sierpień, August
Wrzesień, September
Październik, October
Listopad, November
Grudzień, December
Według najnowszych doniesień, According to the latest reports
Rząd zapowiedział nowe reformy, The government announced new reforms
Prezydent spotkał się z premierem, The president met with the prime minister
Ekonomia kraju rośnie, The country's economy is growing
Bezrobocie spada, Unemployment is falling
Inflacja utrzymuje się na wysokim poziomie, Inflation remains high
Na rynkach finansowych panuje niepewność, There is uncertainty in financial markets
Konflikt na arenie międzynarodowej, Conflict on the international arena
Unia Europejska przyjęła nowe regulacje, The European Union adopted new regulations
Wybory parlamentarne odbędą się w przyszłym miesiącu, Parliamentary elections will be held next month
Partia opozycyjna krytykuje decyzje rządu, The opposition party criticizes government decisions
Strajk pracowników wpłynął na transport publiczny, The workers' strike affected public transport
Pogoda: burze z gradem w całym kraju, Weather: thunderstorms with hail across the country
Temperatury sięgną 30 stopni Celsjusza, Temperatures will reach 30 degrees Celsius
Liczba zakażeń koronawirusem wzrosła, The number of coronavirus infections has increased
Szpitale pracują na pełnych obrotach, Hospitals are working at full capacity
Nowe odkrycie naukowców z Uniwersytetu Warszawskiego, New discovery by scientists from the University of Warsaw
Technologia sztucznej inteligencji rozwija się szybko, Artificial intelligence technology is developing rapidly
Kibice świętują zwycięstwo reprezentacji, Fans celebrate the national team's victory
Turniej tenisowy zakończył się sukcesem polskiego zawodnika, The tennis tournament ended with success for the Polish player
Kultura: nowy film polskiego reżysera otrzymał nagrodę, Culture: new film by Polish director received an award
Literatura: ważna premiera książki znanego autora, Literature: important book launch by famous author
Gospodarka: produkcja przemysłowa wzrosła o 5%, Economy: industrial production increased by 5%
Eksport osiągnął rekordowy poziom, Exports reached a record level
Import surowców energetycznych wzrósł, Import of energy raw materials increased
Budżet państwa został przyjęty przez parlament, The state budget was adopted by parliament
Debata na temat zmian klimatycznych, Debate on climate change
Konferencja prasowa odbędzie się o godzinie 14:00, Press conference will take place at 2:00 PM
Dziennikarze zadawali trudne pytania, Journalists asked difficult questions
Oświadczenie zostało wydane przez ministerstwo, The statement was issued by the ministry
Śledztwo w sprawie korupcji, Investigation into corruption
Policja zatrzymała podejrzanych, Police detained suspects
Sąd wydał wyrok w głośnej sprawie, Court issued a verdict in a high-profile case
Protesty na ulicach stolicy, Protests on the streets of the capital
Demonstranci domagają się zmian, Demonstrators demand changes
Negocjacje między związkami zawodowymi a pracodawcami, Negotiations between trade unions and employers
Porozumienie zostało osiągnięte po długich rozmowach, Agreement was reached after long talks
Kryzys humanitarny w regionie, Humanitarian crisis in the region
Pomoc międzynarodowa dla poszkodowanych, International aid for victims
Katastrofa naturalna spowodowała duże straty, Natural disaster caused significant losses
Pożar strawił kilkadziesiąt hektarów lasu, Fire consumed several dozen hectares of forest
Powódź zalała wiele miejscowości, Flood inundated many towns
Trzęsienie ziemi o sile 5.5 stopnia, Earthquake with magnitude of 5.5
Liczba ofiar śmiertelnych wzrosła do 10, The death toll rose to 10
Ranni zostali przewiezieni do szpitali, The injured were transported to hospitals
Akcja ratunkowa trwa całą dobę, Rescue operation continues around the clock
Wypadek drogowy na autostradzie, Road accident on the highway
Korki uliczne w godzinach szczytu, Traffic jams during rush hour
Remont dróg potrwa do końca roku, Road repairs will last until the end of the year
Inwestycje w infrastrukturę kolejową, Investments in railway infrastructure
Lotnisko odnotowało rekordową liczbę pasażerów, The airport recorded a record number of passengers
Nowa linia lotnicza rozpoczęła działalność, New airline started operations
Ceny paliw wzrosły po raz kolejny, Fuel prices have risen again
Ceny żywności stabilizują się, Food prices are stabilizing
Konsumenci narzekają na wysokie ceny, Consumers complain about high prices
Badanie opinii publicznej wskazuje na spadek poparcia, Public opinion survey indicates decline in support
Sondaż przedwyborczy pokazuje zmiany, Pre-election poll shows changes
Frekwencja wyborcza była niska, Voter turnout was low
Kampania wyborcza nabiera tempa, Election campaign gains momentum
Kandydaci prezentują swoje programy, Candidates present their programs
Debata telewizyjna między liderami, Television debate between leaders
Media społecznościowe wpływają na opinię publiczną, Social media influences public opinion
Fake newsy rozprzestrzeniają się szybko, Fake news spreads quickly
Weryfikacja faktów jest konieczna, Fact-checking is necessary
Edukacja: reforma systemu szkolnictwa, Education: reform of the education system
Nauczyciele domagają się podwyżek, Teachers demand raises
Studenci protestują przeciwko czesnym, Students protest against tuition fees
Sport: przygotowania do igrzysk olimpijskich, Sports: preparations for the Olympic Games
Zawodnik pobił rekord świata, Athlete broke the world record
Drużyna awansowała do finału, The team advanced to the final
Kibicowanie na stadionach wróciło po pandemii, Stadium cheering returned after the pandemic
Zdrowie: nowa strategia walki z chorobami, Health: new strategy to fight diseases
Profilaktyka jest kluczowa dla zdrowia publicznego, Prevention is crucial for public health
Szczepienia ochronne są zalecane, Protective vaccinations are recommended
Badania przesiewowe ratują życie, Screening tests save lives
Środowisko: ochrona gatunków zagrożonych, Environment: protection of endangered species
Recykling odpadów staje się standardem, Waste recycling is becoming standard
Odnawialne źródła energii zyskują popularność, Renewable energy sources are gaining popularity
Technologia: rozwój sieci 5G, Technology: development of 5G network
Cyfryzacja administracji publicznej, Digitalization of public administration
Bezpieczeństwo w internecie jest priorytetem, Internet security is a priority
Kultura cyfrowa zmienia społeczeństwo, Digital culture is changing society
Sztuka współczesna wystawiona w galerii, Contemporary art exhibited in the gallery
Koncert symfoniczny w filharmonii, Symphony concert in the philharmonic
Festival filmowy przyciąga widzów z całego świata, Film festival attracts viewers from around the world
